time,SIP,DAM
2016-01-01 00:00:00,29.6,31.1
2016-01-01 00:30:00,48.14,31.1
2016-01-01 01:00:00,49.02,37.58
2016-01-01 01:30:00,46.0,37.58
2016-01-01 02:00:00,48.5,36.53
2016-01-01 02:30:00,48.5,36.53
2016-01-01 03:00:00,59.0,29.91
2016-01-01 03:30:00,49.94,29.91
2016-01-01 04:00:00,54.24,27.96
2016-01-01 04:30:00,48.5,27.96
2016-01-01 05:00:00,41.93,29.88
2016-01-01 05:30:00,30.31,29.88
2016-01-01 06:00:00,30.07,18.04
2016-01-01 06:30:00,30.07,18.04
2016-01-01 07:00:00,30.2,12.75
2016-01-01 07:30:00,30.2,12.75
2016-01-01 08:00:00,29.6,14.21
2016-01-01 08:30:00,30.2,14.21
2016-01-01 09:00:00,30.31,20.0
2016-01-01 09:30:00,31.25,20.0
2016-01-01 10:00:00,46.0,31.07
2016-01-01 10:30:00,46.0,31.07
2016-01-01 11:00:00,31.25,34.98
2016-01-01 11:30:00,47.91,34.98
2016-01-01 12:00:00,48.0,40.9
2016-01-01 12:30:00,48.6,40.9
2016-01-01 13:00:00,48.0,37.25
2016-01-01 13:30:00,47.46,37.25
2016-01-01 14:00:00,31.25,31.53
2016-01-01 14:30:00,30.2,31.53
2016-01-01 15:00:00,30.2,34.52
2016-01-01 15:30:00,30.2,34.52
2016-01-01 16:00:00,30.2,46.41
2016-01-01 16:30:00,29.6,46.41
2016-01-01 17:00:00,30.01,64.5
2016-01-01 17:30:00,29.6,64.5
2016-01-01 18:00:00,29.95,39.55
2016-01-01 18:30:00,29.6,39.55
2016-01-01 19:00:00,30.2,37.51
2016-01-01 19:30:00,48.0,37.51
2016-01-01 20:00:00,30.2,35.0
2016-01-01 20:30:00,31.87,35.0
2016-01-01 21:00:00,39.99,34.94
2016-01-01 21:30:00,30.69,34.94
2016-01-01 22:00:00,30.2,26.91
2016-01-01 22:30:00,29.6,26.91
2016-01-01 23:00:00,39.28,33.6
2016-01-01 23:30:00,30.14,33.6
2016-01-02 00:00:00,29.6,34.07
2016-01-02 00:30:00,29.6,34.07
2016-01-02 01:00:00,30.2,32.96
2016-01-02 01:30:00,29.6,32.96
2016-01-02 02:00:00,29.6,21.53
2016-01-02 02:30:00,29.6,21.53
2016-01-02 03:00:00,29.73,18.0
2016-01-02 03:30:00,24.46,18.0
2016-01-02 04:00:00,13.0,9.9
2016-01-02 04:30:00,13.0,9.9
2016-01-02 05:00:00,21.89,14.97
2016-01-02 05:30:00,29.6,14.97
2016-01-02 06:00:00,13.0,20.74
2016-01-02 06:30:00,13.0,20.74
2016-01-02 07:00:00,13.0,17.0
2016-01-02 07:30:00,13.0,17.0
2016-01-02 08:00:00,24.48,24.62
2016-01-02 08:30:00,24.13,24.62
2016-01-02 09:00:00,25.02,34.93
2016-01-02 09:30:00,25.0,34.93
2016-01-02 10:00:00,27.49,43.6
2016-01-02 10:30:00,29.6,43.6
2016-01-02 11:00:00,28.2,38.9
2016-01-02 11:30:00,27.6,38.9
2016-01-02 12:00:00,30.09,43.27
2016-01-02 12:30:00,29.6,43.27
2016-01-02 13:00:00,29.6,37.1
2016-01-02 13:30:00,45.45,37.1
2016-01-02 14:00:00,44.89,35.22
2016-01-02 14:30:00,32.2,35.22
2016-01-02 15:00:00,44.89,32.04
2016-01-02 15:30:00,29.91,32.04
2016-01-02 16:00:00,48.72,32.5
2016-01-02 16:30:00,51.72,32.5
2016-01-02 17:00:00,71.41,70.0
2016-01-02 17:30:00,80.59,70.0
2016-01-02 18:00:00,71.72,55.08
2016-01-02 18:30:00,52.92,55.08
2016-01-02 19:00:00,58.16,40.84
2016-01-02 19:30:00,32.2,40.84
2016-01-02 20:00:00,29.0,37.55
2016-01-02 20:30:00,27.61,37.55
2016-01-02 21:00:00,27.5,33.98
2016-01-02 21:30:00,27.5,33.98
2016-01-02 22:00:00,27.16,33.15
2016-01-02 22:30:00,26.55,33.15
2016-01-02 23:00:00,28.0,37.56
2016-01-02 23:30:00,27.11,37.56
2016-01-03 00:00:00,28.0,37.51
2016-01-03 00:30:00,30.48,37.51
2016-01-03 01:00:00,32.2,37.53
2016-01-03 01:30:00,37.33,37.53
2016-01-03 02:00:00,32.2,34.96
2016-01-03 02:30:00,31.6,34.96
2016-01-03 03:00:00,30.94,34.49
2016-01-03 03:30:00,27.68,34.49
2016-01-03 04:00:00,21.69,29.82
2016-01-03 04:30:00,13.0,29.82
2016-01-03 05:00:00,25.0,29.82
2016-01-03 05:30:00,13.03,29.82
2016-01-03 06:00:00,19.0,25.41
2016-01-03 06:30:00,19.0,25.41
2016-01-03 07:00:00,19.0,28.21
2016-01-03 07:30:00,13.0,28.21
2016-01-03 08:00:00,13.0,24.98
2016-01-03 08:30:00,13.0,24.98
2016-01-03 09:00:00,-35.0,30.22
2016-01-03 09:30:00,30.63,30.22
2016-01-03 10:00:00,40.89,31.03
2016-01-03 10:30:00,44.01,31.03
2016-01-03 11:00:00,40.89,33.82
2016-01-03 11:30:00,40.89,33.82
2016-01-03 12:00:00,40.89,39.63
2016-01-03 12:30:00,44.0,39.63
2016-01-03 13:00:00,44.0,36.03
2016-01-03 13:30:00,41.08,36.03
2016-01-03 14:00:00,42.65,34.5
2016-01-03 14:30:00,44.6,34.5
2016-01-03 15:00:00,44.0,30.24
2016-01-03 15:30:00,31.6,30.24
2016-01-03 16:00:00,31.6,35.0
2016-01-03 16:30:00,31.6,35.0
2016-01-03 17:00:00,53.91,70.0
2016-01-03 17:30:00,54.4,70.0
2016-01-03 18:00:00,49.24,50.86
2016-01-03 18:30:00,50.25,50.86
2016-01-03 19:00:00,47.46,40.0
2016-01-03 19:30:00,47.3,40.0
2016-01-03 20:00:00,46.0,38.0
2016-01-03 20:30:00,45.04,38.0
2016-01-03 21:00:00,44.0,33.98
2016-01-03 21:30:00,44.0,33.98
2016-01-03 22:00:00,44.0,32.05
2016-01-03 22:30:00,32.94,32.05
2016-01-03 23:00:00,32.94,33.75
2016-01-03 23:30:00,20.2,33.75
2016-01-04 00:00:00,14.6,31.81
2016-01-04 00:30:00,31.6,31.81
2016-01-04 01:00:00,31.6,35.55
2016-01-04 01:30:00,31.71,35.55
2016-01-04 02:00:00,32.67,35.39
2016-01-04 02:30:00,26.83,35.39
2016-01-04 03:00:00,31.0,33.91
2016-01-04 03:30:00,30.2,33.91
2016-01-04 04:00:00,30.2,30.06
2016-01-04 04:30:00,30.2,30.06
2016-01-04 05:00:00,30.2,29.82
2016-01-04 05:30:00,13.0,29.82
2016-01-04 06:00:00,13.0,29.93
2016-01-04 06:30:00,32.94,29.93
2016-01-04 07:00:00,15.0,30.57
2016-01-04 07:30:00,27.02,30.57
2016-01-04 08:00:00,27.5,35.04
2016-01-04 08:30:00,32.43,35.04
2016-01-04 09:00:00,34.19,37.99
2016-01-04 09:30:00,27.5,37.99
2016-01-04 10:00:00,31.18,37.08
2016-01-04 10:30:00,31.78,37.08
2016-01-04 11:00:00,24.0,40.11
2016-01-04 11:30:00,31.6,40.11
2016-01-04 12:00:00,32.2,40.2
2016-01-04 12:30:00,32.2,40.2
2016-01-04 13:00:00,33.23,38.05
2016-01-04 13:30:00,40.0,38.05
2016-01-04 14:00:00,32.94,35.05
2016-01-04 14:30:00,54.85,35.05
